"data","flow","idx"
2017-01-01 00:00:00,8,1
2017-01-01 01:00:00,10.75,2
2017-01-01 02:00:00,8.25,3
2017-01-01 03:00:00,7,4
2017-01-01 04:00:00,8.5,5
2017-01-01 05:00:00,10.75,6
2017-01-01 06:00:00,9.25,7
2017-01-01 07:00:00,14.75,8
2017-01-01 08:00:00,21,9
2017-01-01 09:00:00,34,10
2017-01-01 10:00:00,62.5,11
2017-01-01 11:00:00,80.75,12
2017-01-01 12:00:00,120,13
2017-01-01 13:00:00,129,14
2017-01-01 14:00:00,142,15
2017-01-01 15:00:00,117.5,16
2017-01-01 16:00:00,112.75,17
2017-01-01 17:00:00,103.75,18
2017-01-01 18:00:00,91,19
2017-01-01 19:00:00,71.5,20
2017-01-01 20:00:00,57.5,21
2017-01-01 21:00:00,45,22
2017-01-01 22:00:00,27.5,23
2017-01-01 23:00:00,20.5,24
2017-01-02 00:00:00,23.25,25
2017-01-02 01:00:00,16,26
2017-01-02 02:00:00,21.25,27
2017-01-02 03:00:00,15.5,28
2017-01-02 04:00:00,15.75,29
2017-01-02 05:00:00,21,30
2017-01-02 06:00:00,24.5,31
2017-01-02 07:00:00,37.25,32
2017-01-02 08:00:00,50.5,33
2017-01-02 09:00:00,75.5,34
2017-01-02 10:00:00,155.5,35
2017-01-02 11:00:00,239,36
2017-01-02 12:00:00,289.75,37
2017-01-02 13:00:00,316.75,38
2017-01-02 14:00:00,289.25,39
2017-01-02 15:00:00,276.75,40
2017-01-02 16:00:00,211.25,41
2017-01-02 17:00:00,171.25,42
2017-01-02 18:00:00,202.5,43
2017-01-02 19:00:00,151.25,44
2017-01-02 20:00:00,109.75,45
2017-01-02 21:00:00,70,46
2017-01-02 22:00:00,60.5,47
2017-01-02 23:00:00,44.25,48
2017-01-06 00:00:00,58.25,49
2017-01-06 01:00:00,51,50
2017-01-06 02:00:00,56.5,51
2017-01-06 03:00:00,62.5,52
2017-01-06 04:00:00,64,53
2017-01-06 05:00:00,82.75,54
2017-01-06 06:00:00,96.5,55
2017-01-06 07:00:00,127,56
2017-01-06 08:00:00,138.75,57
2017-01-06 09:00:00,130,58
2017-01-06 10:00:00,148,59
2017-01-06 11:00:00,188.75,60
2017-01-06 12:00:00,203.5,61
2017-01-06 13:00:00,236.75,62
2017-01-06 14:00:00,252,63
2017-01-06 15:00:00,228,64
2017-01-06 16:00:00,230.75,65
2017-01-06 17:00:00,174,66
2017-01-06 18:00:00,145.75,67
2017-01-06 19:00:00,129,68
2017-01-06 20:00:00,95.5,69
2017-01-06 21:00:00,76,70
2017-01-06 22:00:00,62,71
2017-01-06 23:00:00,48.75,72
2017-01-07 00:00:00,41.25,73
2017-01-07 01:00:00,44.75,74
2017-01-07 02:00:00,45.25,75
2017-01-07 03:00:00,46.25,76
2017-01-07 04:00:00,51.5,77
2017-01-07 05:00:00,46.5,78
2017-01-07 06:00:00,52.75,79
2017-01-07 07:00:00,65.5,80
2017-01-07 08:00:00,68,81
2017-01-07 09:00:00,87.5,82
2017-01-07 10:00:00,129,83
2017-01-07 11:00:00,159,84
2017-01-07 12:00:00,153.5,85
2017-01-07 13:00:00,155.25,86
2017-01-07 14:00:00,154.5,87
2017-01-07 15:00:00,141.75,88
2017-01-07 16:00:00,155.5,89
2017-01-07 17:00:00,133,90
2017-01-07 18:00:00,97.25,91
2017-01-07 19:00:00,80.25,92
2017-01-07 20:00:00,60.5,93
